Feature,Importance
MonthlyCharges,0.13962738326023968
TotalCharges,0.1359733988122912
Contract,0.13204740795930817
tenure,0.12197846589254785
OnlineSecurity,0.08509598368111314
TechSupport,0.08151517857500128
PaymentMethod,0.041972126971390654
OnlineBackup,0.0385543644486071
Partner,0.02918094285535642
InternetService,0.02902939385981752
Dependents,0.02642816131291581
DeviceProtection,0.02541682701999099
gender,0.0215777296573974
MultipleLines,0.019483374576946422
PaperlessBilling,0.018362873323317132
StreamingMovies,0.01756287819381153
StreamingTV,0.01607533661882875
SeniorCitizen,0.014038957398282627
PhoneService,0.00607921558283641
